Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-02-09,05:32:08,-10.886,165.966,Earthquake,9.0,,201.0,5.5,MWB,,,27.3,,,0.84,USC000F4E9,US,US,US,Reviewed
2013-02-09,14:16:08,1.135,-77.393,Earthquake,145.0,,562.0,6.9,MWW,,,23.7,,,0.91,USC000F4IJ,US,US,US,Reviewed
2013-02-09,21:02:23,-10.994,165.741,Earthquake,18.0,,421.0,6.6,MWW,,,16.6,,,0.98,USC000F4N5,US,US,US,Reviewed
2013-02-09,23:09:42,-10.921,165.91,Earthquake,10.0,,64.0,5.5,MWC,,,80.7,,,1.14,USC000F4QC,US,US,GCMT,Reviewed
2013-02-10,01:30:47,-11.012,166.788,Earthquake,10.0,,282.0,5.6,MWB,,,38.9,,,0.61,USC000F4RP,US,US,US,Reviewed
2013-02-10,09:37:12,-18.608,-174.713,Earthquake,122.0,,384.0,5.6,MWB,,,15.7,,,0.95,USC000F4VE,US,US,US,Reviewed
2013-02-10,18:39:32,-10.94,165.461,Earthquake,11.0,,216.0,6.0,MWW,,,29.5,,,1.03,USC000F4ZF,US,US,US,Reviewed
2013-02-11,09:40:20,-11.046,166.8,Earthquake,10.0,,353.0,5.7,MWW,,,16.5,,,0.83,USC000F5FA,US,US,US,Reviewed
2013-02-11,20:09:54,-11.004,165.569,Earthquake,10.0,,203.0,5.7,MWW,,,29.5,,,1.01,USC000F5MB,US,US,US,Reviewed
2013-02-12,23:32:35,-10.898,164.255,Earthquake,9.2,13.1,144.0,5.5,MWW,,,62.9,,,0.86,USC000F6AM,US,US,US,Reviewed
2013-02-13,05:21:19,-2.975,130.205,Earthquake,35.0,,232.0,5.6,MB,,133.0,31.9,,,0.92,USC000F6GJ,US,US,US,Reviewed
2013-02-14,13:13:53,67.631,142.508,Earthquake,11.0,,697.0,6.6,MWW,,,15.3,,,1.15,USC000F76F,US,US,US,Reviewed
2013-02-15,03:02:23,-19.731,-174.465,Earthquake,74.0,,486.0,5.7,MWW,,,27.3,,,0.66,USC000F7MI,US,US,US,Reviewed
2013-02-16,04:37:36,5.812,125.748,Earthquake,105.0,,513.0,6.1,MWW,,,17.6,,,0.76,USC000F8BE,US,US,US,Reviewed
2013-02-16,05:16:17,-36.514,177.933,Earthquake,207.1,3.7,499.0,5.8,MWW,,,28.3,,,1.06,USC000F8CD,US,US,US,Reviewed
2013-02-17,19:18:52,-10.841,165.673,Earthquake,10.0,,147.0,5.5,MWB,,,54.8,,,0.92,USC000F91P,US,US,US,Reviewed
2013-02-17,19:23:45,-10.808,165.555,Earthquake,10.0,,227.0,5.7,MWW,,,29.9,,,1.12,USC000F91T,US,US,US,Reviewed
2013-02-18,03:40:49,5.541,-32.96,Earthquake,10.0,,317.0,5.5,MWW,,,20.3,,,0.98,USC000F9KB,US,US,US,Reviewed
2013-02-18,12:19:18,-30.774,-178.123,Earthquake,35.0,,399.0,5.9,MWW,,,29.8,,,0.84,USC000F9P5,US,US,US,Reviewed
2013-02-18,16:32:47,-30.744,-178.148,Earthquake,50.0,,389.0,5.5,MWW,,,44.4,,,0.88,USC000F9RA,US,US,US,Reviewed
2013-02-19,22:29:02,-17.46,-173.451,Earthquake,47.0,,369.0,5.7,MWW,,,26.7,,,0.78,USC000FAD1,US,US,US,Reviewed
2013-02-20,00:09:18,-10.781,166.902,Earthquake,6.0,,358.0,5.6,MWW,,,18.7,,,0.58,USC000FAEP,US,US,US,Reviewed
2013-02-20,21:23:09,18.552,-103.714,Earthquake,18.0,,456.0,5.6,MWW,,,90.4,,,1.09,US2013LWCV,US,US,US,Reviewed
2013-02-22,12:01:58,-27.932,-63.097,Earthquake,575.2,2.6,668.0,6.1,MWW,,,20.1,,,0.8,USC000FBL2,US,US,US,Reviewed
